date,TLT_close,IEF_close,SHY_close
2015-03-16,127.94,106.93,84.64
2015-03-17,129.0,107.15,84.62
2015-03-18,131.49,108.38,84.82
2015-03-19,130.82,107.87,84.71
2015-03-20,131.51,108.31,84.77
2015-03-23,131.35,108.45,84.8
2015-03-24,132.62,108.78,84.83
2015-03-25,131.5,108.31,84.81
2015-03-26,129.45,107.7,84.77
2015-03-27,131.06,108.12,84.82
2015-03-30,130.41,108.11,84.81
2015-03-31,130.69,108.39,84.88
2015-04-01,132.13,108.73,84.88
2015-04-02,130.73,108.42,84.87
2015-04-06,130.0,108.56,84.94
2015-04-07,131.09,108.65,84.88
2015-04-08,131.13,108.55,84.88
2015-04-09,129.43,108.11,84.85
2015-04-10,129.62,108.08,84.83
2015-04-13,129.8,108.3,84.88
2015-04-14,130.72,108.62,84.92
2015-04-15,130.61,108.68,84.92
2015-04-16,129.96,108.76,84.96
2015-04-17,131.45,108.98,84.92
2015-04-20,130.29,108.78,84.91
2015-04-21,129.7,108.55,84.92
2015-04-22,127.72,107.92,84.85
2015-04-23,128.27,108.25,84.89
2015-04-24,129.07,108.63,84.92
2015-04-27,129.07,108.46,84.91
2015-04-28,127.29,107.96,84.87
2015-04-29,125.73,107.56,84.88
2015-04-30,125.95,107.53,84.87
2015-05-01,124.0,106.78,84.8
2015-05-04,122.83,106.56,84.8
2015-05-05,122.66,106.38,84.78
2015-05-06,120.56,105.86,84.75
2015-05-07,122.18,106.31,84.72
2015-05-08,122.51,106.72,84.84
2015-05-11,119.53,105.67,84.76
2015-05-12,119.84,105.75,84.77
2015-05-13,118.88,105.61,84.81
2015-05-14,119.2,105.97,84.89
2015-05-15,121.59,106.73,84.89
2015-05-18,119.55,106.01,84.84
2015-05-19,118.49,105.54,84.79
2015-05-20,118.69,105.77,84.82
2015-05-21,120.35,106.4,84.85
2015-05-22,120.4,106.16,84.79
2015-05-26,122.46,106.82,84.8
2015-05-27,122.74,106.76,84.81
2015-05-28,122.44,106.86,84.85
2015-05-29,122.71,106.92,84.87
2015-06-01,121.13,106.28,84.78
2015-06-02,119.44,105.54,84.77
2015-06-03,117.52,104.64,84.74
2015-06-04,119.05,105.15,84.75
2015-06-05,117.6,104.39,84.665
2015-06-08,117.47,104.54,84.72
2015-06-09,116.54,104.2,84.68
2015-06-10,115.52,103.8,84.66
2015-06-11,117.95,104.61,84.68
2015-06-12,117.97,104.56,84.66
2015-06-15,118.14,104.81,84.7
2015-06-16,119.06,105.21,84.73
2015-06-17,118.15,105.27,84.79
2015-06-18,117.6,105.19,84.81
2015-06-19,119.08,105.75,84.83
2015-06-22,116.65,104.86,84.77
2015-06-23,115.95,104.54,84.75
2015-06-24,116.95,104.85,84.79
2015-06-25,116.54,104.59,84.77
2015-06-26,115.23,104.09,84.72
2015-06-29,118.21,105.3,84.86
2015-06-30,117.53,105.01,84.86
2015-07-01,115.62,104.3,84.75
2015-07-02,116.07,104.67,84.88
2015-07-06,118.15,105.41,84.9
